iso3_alpha,iso_num,year,country,gdppc,pop
ARG,32,1875,Argentina,15.87,
ARG,32,1876,Argentina,15.71,
ARG,32,1877,Argentina,16.85,
ARG,32,1878,Argentina,15.48,
ARG,32,1879,Argentina,15.68,
ARG,32,1880,Argentina,14.89,
ARG,32,1881,Argentina,14.67,
ARG,32,1882,Argentina,18.02,
ARG,32,1883,Argentina,19.64,
ARG,32,1884,Argentina,20.42,
ARG,32,1885,Argentina,23.31,
ARG,32,1886,Argentina,22.68,
ARG,32,1887,Argentina,23.52,
ARG,32,1888,Argentina,26.56,
ARG,32,1889,Argentina,28.31,
ARG,32,1890,Argentina,25.1,
ARG,32,1891,Argentina,22.97,
ARG,32,1892,Argentina,26.73,
ARG,32,1893,Argentina,27.49,
ARG,32,1894,Argentina,30.84,
ARG,32,1895,Argentina,33.23,
ARG,32,1896,Argentina,35.73,
ARG,32,1897,Argentina,27.91,
ARG,32,1898,Argentina,29.44,
ARG,32,1899,Argentina,33.75,
ARG,32,1900,Argentina,28.78,
ARG,32,1901,Argentina,30.39,
ARG,32,1902,Argentina,28.92,
ARG,32,1903,Argentina,32.24,
ARG,32,1904,Argentina,34.76,
ARG,32,1905,Argentina,38.39,
ARG,32,1906,Argentina,38.54,
ARG,32,1907,Argentina,37.57,
ARG,32,1908,Argentina,39.5,
ARG,32,1909,Argentina,39.62,
ARG,32,1910,Argentina,40.66,
ARG,32,1911,Argentina,39.77,
ARG,32,1912,Argentina,41.43,
ARG,32,1913,Argentina,40.2,
ARG,32,1914,Argentina,34.43,
ARG,32,1915,Argentina,33.24,
ARG,32,1916,Argentina,31.71,
ARG,32,1917,Argentina,28.59,
ARG,32,1918,Argentina,33.34,
ARG,32,1919,Argentina,33.99,
ARG,32,1920,Argentina,35.87,
ARG,32,1921,Argentina,35.7,
ARG,32,1922,Argentina,37.46,
ARG,32,1923,Argentina,40.45,
ARG,32,1924,Argentina,42.37,
ARG,32,1925,Argentina,40.91,
ARG,32,1926,Argentina,41.76,
ARG,32,1927,Argentina,43.57,
ARG,32,1928,Argentina,45.08,
ARG,32,1929,Argentina,45.92,
ARG,32,1930,Argentina,42.76,
ARG,32,1931,Argentina,38.99,
ARG,32,1932,Argentina,36.97,
ARG,32,1933,Argentina,38.02,
ARG,32,1934,Argentina,40.31,
ARG,32,1935,Argentina,41.31,
ARG,32,1936,Argentina,41,
ARG,32,1937,Argentina,43.33,
ARG,32,1938,Argentina,42.79,
ARG,32,1939,Argentina,43.75,
ARG,32,1940,Argentina,43.78,
ARG,32,1941,Argentina,45.38,
ARG,32,1942,Argentina,45.17,
ARG,32,1943,Argentina,44.16,
ARG,32,1944,Argentina,48.45,
ARG,32,1945,Argentina,46.14,
ARG,32,1946,Argentina,49.19,
ARG,32,1947,Argentina,53.51,
ARG,32,1948,Argentina,55.2,
ARG,32,1949,Argentina,53.21,
ARG,32,1950,Argentina,52.62,
ARG,32,1951,Argentina,53.54,
ARG,32,1952,Argentina,49.74,
ARG,32,1953,Argentina,51.39,
ARG,32,1954,Argentina,52.53,
ARG,32,1955,Argentina,55.26,
ARG,32,1956,Argentina,55.79,
ARG,32,1957,Argentina,57.7,
ARG,32,1958,Argentina,60.23,
ARG,32,1959,Argentina,55.33,
