iso_num,country,self_g,statehood,end,region
4,Afghanistan,NA,1919,2025,e_asia
8,Albania,NA,1912,2025,e_europe
12,Algeria,NA,1962,2025,africa
20,Andorra,1814,1993,2025,s_w_europe
24,Angola,NA,1975,2025,africa
660,Anguilla,1982,NA,2025,s_caribbean
28,Antigua and Barbuda,1971,1981,2025,s_caribbean
32,Argentina,NA,1816,2025,l_america
51,Armenia,NA,1918,1920,f_ussr
51,Armenia,NA,1991,2025,f_ussr
533,Aruba,1986,NA,2025,s_caribbean
36,Australia,1901,1931,2025,w_offshoots
40,Austria,NA,1806,2025,w_europe
41,Austria-Hungary,NA,1867,1918,w_europe
31,Azerbaijan,NA,1991,2025,f_ussr
44,Bahamas,1969,1973,2025,s_caribbe an
48,Bahrain,NA,1971,2025,w_asia
50,Bangladesh,NA,1971,2025,e_asia
52,Barbados,1961,1966,2025,s_caribbean
112,Belarus,NA,1918,1940,f_ussr
112,Belarus,NA,1991,2025,f_ussr
56,Belgium,NA,1830,2025,w_europe
84,Belize,1964,1981,2025,s_caribbean
204,Benin,1958,1960,2025,africa
60,Bermuda,1968,NA,2025,s_caribbean
64,Bhutan,NA,1907,2025,s_e_easia
68,Bolivia,NA,1825,2025,l_america
70,Bosnia and Herzegovina,NA,1992,2025,e_europe
72,Botswana,NA,1966,2025,africa
76,Brazil,NA,1822,2025,l_america
92,British Virgin Islands,1967,NA,2025,s_caribbean
96,Brunei,NA,1984,2025,s_e_easia
100,Bulgaria,NA,1908,2025,e_europe
854,Burkina Faso,NA,1960,2025,africa
108,Burundi,NA,1962,2025,africa
132,Cabo Verde,NA,1975,2025,africa
116,Cambodia,NA,1953,2025,e_asia
120,Cameroon,NA,1960,2025,africa
124,Canada,NA,1867,2025,w_offshoots
136,Cayman Islands,1972,NA,2025,s_caribbean
140,Central African Republic,NA,1960,2025,africa
148,Chad,1958,1960,2025,africa
152,Chile,1810,NA,1814,l_america
152,Chile,NA,1818,2025,l_america
156,China,NA,1800,2025,e_asia
170,Colombia,NA,1830,2025,l_america
174,Comoros,NA,1975,2025,africa
180,"Congo, Dem. Rep.",NA,1960,2025,africa
178,"Congo, Rep.",NA,1960,2025,africa
184,Cook Islands,1965,NA,2025,pacific
188,Costa Rica,NA,1821,2025,l_america
384,Cote d'Ivoire,NA,1960,2025,africa
191,Croatia,NA,1991,2025,e_europe
192,Cuba,NA,1902,2025,l_america
531,Curacao,2010,NA,2025,s_caribbean
196,Cyprus,NA,1960,2025,s_w_europe
203,Czech Republic,NA,1993,2025,e_europe
200,Czechoslovakia,NA,1918,1992,e_europe
208,Denmark,NA,1523,2025,w_europe
262,Djibouti,NA,1977,2025,africa
