iso_num,country,group
12,Algeria,Group 1: Backbone complete
24,Angola,Group 1: Backbone complete
31,Azerbaijan,Group 1: Backbone complete
36,Australia,Group 1: Backbone complete
48,Bahrain,Group 1: Backbone complete
50,Bangladesh,Group 1: Backbone complete
52,Barbados,Group 1: Backbone complete
70,Bosnia and Herzegovina,Group 1: Backbone complete
72,Botswana,Group 1: Backbone complete
108,Burundi,Group 1: Backbone complete
120,Cameroon,Group 1: Backbone complete
132,Cabo Verde,Group 1: Backbone complete
140,Central African Republic,Group 1: Backbone complete
144,Sri Lanka,Group 1: Backbone complete
148,Chad,Group 1: Backbone complete
174,Comoros,Group 1: Backbone complete
178,"Congo, Rep.",Group 1: Backbone complete
180,"Congo, Dem. Rep.",Group 1: Backbone complete
192,Cuba,Group 1: Backbone complete
196,Cyprus,Group 1: Backbone complete
203,Czech Republic,Group 1: Backbone complete
204,Benin,Group 1: Backbone complete
212,Dominica,Group 1: Backbone complete
226,Equatorial Guinea,Group 1: Backbone complete
246,Finland,Group 1: Backbone complete
262,Djibouti,Group 1: Backbone complete
266,Gabon,Group 1: Backbone complete
268,Georgia,Group 1: Backbone complete
270,Gambia,Group 1: Backbone complete
275,West Bank and Gaza,Group 1: Backbone complete
276,Germany,Group 1: Backbone complete
288,Ghana,Group 1: Backbone complete
324,Guinea,Group 1: Backbone complete
344,Hong Kong,Group 1: Backbone complete
356,India,Group 1: Backbone complete
372,Ireland,Group 1: Backbone complete
380,Italy,Group 1: Backbone complete
384,Cote d'Ivoire,Group 1: Backbone complete
388,Jamaica,Group 1: Backbone complete
398,Kazakhstan,Group 1: Backbone complete
404,Kenya,Group 1: Backbone complete
410,"Korea, Rep.",Group 1: Backbone complete
414,Kuwait,Group 1: Backbone complete
417,Kyrgyz Republic,Group 1: Backbone complete
418,Laos,Group 1: Backbone complete
426,Lesotho,Group 1: Backbone complete
434,Libya,Group 1: Backbone complete
450,Madagascar,Group 1: Backbone complete
454,Malawi,Group 1: Backbone complete
458,Malaysia,Group 1: Backbone complete
466,Mali,Group 1: Backbone complete
470,Malta,Group 1: Backbone complete
478,Mauritania,Group 1: Backbone complete
480,Mauritius,Group 1: Backbone complete
498,Moldova,Group 1: Backbone complete
508,Mozambique,Group 1: Backbone complete
516,Namibia,Group 1: Backbone complete
562,Niger,Group 1: Backbone complete
566,Nigeria,Group 1: Backbone complete
624,Guinea-Bissau,Group 1: Backbone complete
630,Puerto Rico,Group 1: Backbone complete
634,Qatar,Group 1: Backbone complete
646,Rwanda,Group 1: Backbone complete
662,St. Lucia,Group 1: Backbone complete
678,Sao Tome and Principe,Group 1: Backbone complete
686,Senegal,Group 1: Backbone complete
690,Seychelles,Group 1: Backbone complete
694,Sierra Leone,Group 1: Backbone complete
702,Singapore,Group 1: Backbone complete
703,Slovak Republic,Group 1: Backbone complete
705,Slovenia,Group 1: Backbone complete
729,Sudan,Group 1: Backbone complete
748,Eswatini,Group 1: Backbone complete
762,Tajikistan,Group 1: Backbone complete
768,Togo,Group 1: Backbone complete
780,Trinidad and Tobago,Group 1: Backbone complete
788,Tunisia,Group 1: Backbone complete
795,Turkmenistan,Group 1: Backbone complete
800,Uganda,Group 1: Backbone complete
804,Ukraine,Group 1: Backbone complete
807,North Macedonia,Group 1: Backbone complete
834,Tanzania,Group 1: Backbone complete
854,Burkina Faso,Group 1: Backbone complete
860,Uzbekistan,Group 1: Backbone complete
894,Zambia,Group 1: Backbone complete
158,Taiwan,"Group 2: Backbone missing, secondary fill"
352,Iceland,"Group 2: Backbone missing, secondary fill"
360,Indonesia,"Group 2: Backbone missing, secondary fill"
528,Netherlands,"Group 2: Backbone missing, secondary fill"
710,South Africa,"Group 2: Backbone missing, secondary fill"
752,Sweden,"Group 2: Backbone missing, secondary fill"
784,United Arab Emirates,"Group 2: Backbone missing, secondary fill"
826,United Kingdom,"Group 2: Backbone missing, secondary fill"
840,United States,"Group 2: Backbone missing, secondary fill"
4,Afghanistan,"Group 3: Secondary missing, need proxy"
8,Albania,"Group 3: Secondary missing, need proxy"
32,Argentina,"Group 3: Secondary missing, need proxy"
40,Austria,"Group 3: Secondary missing, need proxy"
51,Armenia,"Group 3: Secondary missing, need proxy"
56,Belgium,"Group 3: Secondary missing, need proxy"
68,Bolivia,"Group 3: Secondary missing, need proxy"
76,Brazil,"Group 3: Secondary missing, need proxy"
100,Bulgaria,"Group 3: Secondary missing, need proxy"
104,Myanmar,"Group 3: Secondary missing, need proxy"
112,Belarus,"Group 3: Secondary missing, need proxy"
116,Cambodia,"Group 3: Secondary missing, need proxy"
124,Canada,"Group 3: Secondary missing, need proxy"
152,Chile,"Group 3: Secondary missing, need proxy"
156,China,"Group 3: Secondary missing, need proxy"
170,Colombia,"Group 3: Secondary missing, need proxy"
188,Costa Rica,"Group 3: Secondary missing, need proxy"
191,Croatia,"Group 3: Secondary missing, need proxy"
200,Czechoslovakia,"Group 3: Secondary missing, need proxy"
208,Denmark,"Group 3: Secondary missing, need proxy"
214,Dominican Republic,"Group 3: Secondary missing, need proxy"
218,Ecuador,"Group 3: Secondary missing, need proxy"
222,El Salvador,"Group 3: Secondary missing, need proxy"
231,Ethiopia,"Group 3: Secondary missing, need proxy"
233,Estonia,"Group 3: Secondary missing, need proxy"
250,France,"Group 3: Secondary missing, need proxy"
300,Greece,"Group 3: Secondary missing, need proxy"
320,Guatemala,"Group 3: Secondary missing, need proxy"
332,Haiti,"Group 3: Secondary missing, need proxy"
340,Honduras,"Group 3: Secondary missing, need proxy"
348,Hungary,"Group 3: Secondary missing, need proxy"
364,Iran,"Group 3: Secondary missing, need proxy"
368,Iraq,"Group 3: Secondary missing, need proxy"
376,Israel,"Group 3: Secondary missing, need proxy"
392,Japan,"Group 3: Secondary missing, need proxy"
400,Jordan,"Group 3: Secondary missing, need proxy"
408,"Korea, Dem. People's Rep.","Group 3: Secondary missing, need proxy"
422,Lebanon,"Group 3: Secondary missing, need proxy"
428,Latvia,"Group 3: Secondary missing, need proxy"
430,Liberia,"Group 3: Secondary missing, need proxy"
440,Lithuania,"Group 3: Secondary missing, need proxy"
442,Luxembourg,"Group 3: Secondary missing, need proxy"
484,Mexico,"Group 3: Secondary missing, need proxy"
496,Mongolia,"Group 3: Secondary missing, need proxy"
499,Montenegro,"Group 3: Secondary missing, need proxy"
504,Morocco,"Group 3: Secondary missing, need proxy"
