"iso_num","iso3_alpha","country","year","gdp","origin"
20,"AND","Andorra",1814,NA,NA
20,"AND","Andorra",1815,NA,NA
20,"AND","Andorra",1816,NA,NA
20,"AND","Andorra",1817,NA,NA
20,"AND","Andorra",1818,NA,NA
20,"AND","Andorra",1819,NA,NA
20,"AND","Andorra",1820,NA,NA
20,"AND","Andorra",1821,NA,NA
20,"AND","Andorra",1822,NA,NA
20,"AND","Andorra",1823,NA,NA
20,"AND","Andorra",1824,NA,NA
20,"AND","Andorra",1825,NA,NA
20,"AND","Andorra",1826,NA,NA
20,"AND","Andorra",1827,NA,NA
20,"AND","Andorra",1828,NA,NA
20,"AND","Andorra",1829,NA,NA
20,"AND","Andorra",1830,NA,NA
20,"AND","Andorra",1831,NA,NA
20,"AND","Andorra",1832,NA,NA
20,"AND","Andorra",1833,NA,NA
20,"AND","Andorra",1834,NA,NA
20,"AND","Andorra",1835,NA,NA
20,"AND","Andorra",1836,NA,NA
20,"AND","Andorra",1837,NA,NA
20,"AND","Andorra",1838,NA,NA
20,"AND","Andorra",1839,NA,NA
20,"AND","Andorra",1840,NA,NA
20,"AND","Andorra",1841,NA,NA
20,"AND","Andorra",1842,NA,NA
20,"AND","Andorra",1843,NA,NA
20,"AND","Andorra",1844,NA,NA
20,"AND","Andorra",1845,NA,NA
20,"AND","Andorra",1846,NA,NA
20,"AND","Andorra",1847,NA,NA
20,"AND","Andorra",1848,NA,NA
20,"AND","Andorra",1849,NA,NA
20,"AND","Andorra",1850,NA,NA
20,"AND","Andorra",1851,NA,NA
20,"AND","Andorra",1852,NA,NA
20,"AND","Andorra",1853,NA,NA
20,"AND","Andorra",1854,NA,NA
20,"AND","Andorra",1855,NA,NA
20,"AND","Andorra",1856,NA,NA
20,"AND","Andorra",1857,NA,NA
20,"AND","Andorra",1858,NA,NA
20,"AND","Andorra",1859,NA,NA
20,"AND","Andorra",1860,NA,NA
20,"AND","Andorra",1861,NA,NA
20,"AND","Andorra",1862,NA,NA
20,"AND","Andorra",1863,NA,NA
20,"AND","Andorra",1864,NA,NA
20,"AND","Andorra",1865,NA,NA
20,"AND","Andorra",1866,NA,NA
20,"AND","Andorra",1867,NA,NA
20,"AND","Andorra",1868,NA,NA
20,"AND","Andorra",1869,NA,NA
20,"AND","Andorra",1870,NA,NA
20,"AND","Andorra",1871,NA,NA
20,"AND","Andorra",1872,NA,NA
20,"AND","Andorra",1873,NA,NA
20,"AND","Andorra",1874,NA,NA
20,"AND","Andorra",1875,NA,NA
20,"AND","Andorra",1876,NA,NA
20,"AND","Andorra",1877,NA,NA
20,"AND","Andorra",1878,NA,NA
20,"AND","Andorra",1879,NA,NA
20,"AND","Andorra",1880,NA,NA
20,"AND","Andorra",1881,NA,NA
20,"AND","Andorra",1882,NA,NA
20,"AND","Andorra",1883,NA,NA
20,"AND","Andorra",1884,NA,NA
20,"AND","Andorra",1885,NA,NA
20,"AND","Andorra",1886,NA,NA
20,"AND","Andorra",1887,NA,NA
20,"AND","Andorra",1888,NA,NA
20,"AND","Andorra",1889,NA,NA
20,"AND","Andorra",1890,NA,NA
20,"AND","Andorra",1891,NA,NA
20,"AND","Andorra",1892,NA,NA
20,"AND","Andorra",1893,NA,NA
20,"AND","Andorra",1894,NA,NA
20,"AND","Andorra",1895,NA,NA
20,"AND","Andorra",1896,NA,NA
20,"AND","Andorra",1897,NA,NA
20,"AND","Andorra",1898,NA,NA
20,"AND","Andorra",1899,NA,NA
20,"AND","Andorra",1900,NA,NA
20,"AND","Andorra",1901,NA,NA
20,"AND","Andorra",1902,NA,NA
20,"AND","Andorra",1903,NA,NA
20,"AND","Andorra",1904,NA,NA
20,"AND","Andorra",1905,NA,NA
