iso3_alpha,iso_num,country,year,GDP_per_capita_PPP_constant_2011_international,GDP_PPP_current_international,GDP_PPP_constant_2017_international,GDP_per_capita_PPP_current_international,GDP_per_capita_PPP_constant_2017_international,GDP_current_LCU_,GDP_current,GDP_growth_annual,GDP_constant_2005,Coal_rentsof_GDP_,Inflation_GDP_deflator_annual,Inflation_GDP_deflator_linked_series_annual,GDP_deflator_base_year_varies_by_country_,GDP_deflator_linked_series_base_year_varies_by_country_,Forest_rentsof_GDP_,Mineral_rentsof_GDP_,GDP_current_US_,GDP_deflator_index_2000_100_US_series_,GDP_linked_series_current_LCU_,GDP_deflator_period_average_LCU_index_2000_100_,GDP_constant_2015_US_,GDP_growth_annual1,GDP_constant_LCU_,GDP_deflator_end_period_base_year_varies_by_country_,Natural_gas_rentsof_GDP_,GDP_per_capita_current_US_,GDP_per_capita_current_LCU_,GDP_per_capita_constant_2015_US_,GDP_per_capita_growth_annual,GDP_per_capita_constant_LCU_,GDP_per_capita_PPP_annual_growth,Oil_rentsof_GDP_,GDP_current_US_millions_seas_adj_,GDP_current_LCU_millions_seas_adj_,GDP_constant_2010_US_millions_seas_adj_,GDP_constant_2010_LCU_millions_seas_adj_,PPP_conversion_factor_GDP_LCU_per_international,Price_level_ratio_of_PPP_conversion_factor_GDP_to_market_exchange_rate,PPP_conversion_factor_private_consumption_LCU_per_international,gdp,pop
AFG,4,Afghanistan,2002,NA,19806995164,37931379899,943.1787481,1806.234167,1.82e+11,NA,NA,NA,0.00465002,6.125522037,6.125522037,37.39567933,37.39567933,1.009148204,0,3825701439,NA,1.82e+11,NA,7228795919,28.60000116,4.87e+11,NA,0.231561307,182.1740382,8674.309556,344.2241808,20.56796346,23196.0208,NA,0.030789276,NA,NA,NA,NA,9.19688826,0.193149007,NA,16842623387,21000256
AFG,4,Afghanistan,2003,NA,21981995256,41281584746,970.7162315,1822.978484,2.21e+11,NA,NA,NA,0.007472748,11.65523822,11.65523822,41.75423484,41.75423484,0.661477338,0,4520946819,NA,2.21e+11,NA,7867263256,8.832277803,5.3e+11,NA,0.0367297,199.6432265,9775.106745,347.4152392,0.927029119,23411.05467,NA,0.025632803,NA,NA,NA,NA,10.06999412,0.205665899,NA,19482094227,22645130
AFG,4,Afghanistan,2004,NA,22892320780,41865355064,971.9265167,1777.454069,2.5e+11,NA,NA,NA,0.016543784,11.27143206,11.27143206,46.46053505,46.46053505,0.388468678,0,5224896719,NA,2.5e+11,NA,7978515642,1.414117993,5.38e+11,NA,0.028302171,221.8305307,10605.27734,338.7393961,-2.497254626,22826.42102,NA,0.02560516,NA,NA,NA,NA,10.91160407,0.228237965,11.35936716,21039141237,23553551
AFG,4,Afghanistan,2005,NA,26261445894,46566715049,1075.795355,1907.597014,3.08e+11,NA,NA,NA,0.010913524,10.91277355,10.91277355,51.53066803,51.53066803,0.33333769,0,6203256539,NA,3.08e+11,NA,8874480196,11.22971483,5.98e+11,NA,0.023093937,254.115276,12623.8505,363.5414673,7.321873845,24497.74277,NA,0.02584762,NA,NA,NA,NA,11.73443485,0.236211539,12.380411,23984679411,24411191
AFG,4,Afghanistan,2006,NA,28521625037,49061481754,1121.003333,1928.294216,3.48e+11,NA,NA,NA,0.011206353,7.199751293,7.199751293,55.24074797,55.24074797,0.45398742,0,6971758282,NA,3.48e+11,NA,9349921886,5.357403247,6.3e+11,NA,0.017573594,274.0153923,13679.56494,367.4858493,1.084988197,24763.54039,NA,0.021407037,NA,NA,NA,NA,12.20296544,0.244437625,12.80721824,25266329202,25442944
ALB,8,Albania,1980,NA,NA,NA,NA,NA,14991970000,NA,NA,NA,NA,NA,NA,2.709732104,NA,NA,NA,NA,NA,NA,NA,4650626379,NA,5.53e+11,NA,NA,NA,5610.773515,1740.505838,NA,207060.0819,NA,NA,NA,NA,NA,NA,NA,NA,NA,11331302495,2671997
ALB,8,Albania,1981,NA,NA,NA,NA,NA,15514160000,NA,NA,NA,NA,-2.139571986,NA,2.651755435,NA,NA,NA,NA,NA,NA,NA,4917834409,5.745635292,5.85e+11,NA,NA,NA,5691.064307,1804.010779,3.648648547,214614.9766,NA,NA,NA,NA,NA,NA,NA,NA,NA,11982357811,2726056
ALB,8,Albania,1982,NA,NA,NA,NA,NA,15968780000,NA,NA,NA,NA,-0.0177191,NA,2.651285568,NA,NA,NA,NA,NA,NA,NA,5062841518,2.948596801,6.02e+11,NA,NA,NA,5735.339646,1818.36782,0.795840071,216322.9686,NA,NA,NA,NA,NA,NA,NA,NA,NA,12335669227,2784278
ALB,8,Albania,1983,NA,NA,NA,NA,NA,16142520000,NA,NA,NA,NA,-0.016755172,NA,2.65084134,NA,NA,NA,NA,NA,NA,NA,5118782791,1.104938262,6.09e+11,NA,NA,NA,5676.071393,1799.878617,-1.016802172,214123.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,12471970760,2843960
ALB,8,Albania,1984,NA,NA,NA,NA,NA,15935960000,NA,NA,NA,0.368325704,-0.028360258,NA,2.650089555,NA,1.610236722,0.604964557,1857337995,NA,NA,NA,5054716277,-1.251596644,6.01e+11,NA,0.480087183,639.4847302,5486.778985,1740.347682,-3.307497202,207041.2668,NA,5.799113572,NA,NA,NA,NA,NA,NA,NA,12315871992,2904429
ALB,8,Albania,1985,NA,NA,NA,NA,NA,16276690000,NA,NA,NA,0.556625382,0.351222348,NA,2.659397262,NA,1.677311969,0.692259344,1897050117,NA,NA,NA,5144722777,1.780643959,6.12e+11,NA,0.429410237,639.8659038,5490.049454,1735.290312,-0.290595348,206439.6145,NA,5.357207137,NA,NA,NA,NA,NA,NA,NA,12535173822,2964762
ALB,8,Albania,1986,NA,NA,NA,NA,NA,16778610000,NA,NA,NA,0.152296786,-2.417300429,NA,2.59511164,NA,1.761327784,0.440841191,2097326250,NA,NA,NA,5434743311,5.637243179,6.47e+11,NA,0.392760294,693.8734746,5550.987797,1798.01508,3.614655544,213901.6954,NA,1.949870762,NA,NA,NA,NA,NA,NA,NA,13241812053,3022635
ALB,8,Albania,1987,NA,NA,NA,NA,NA,16646370000,NA,NA,NA,0.048179543,-0.000306093,NA,2.595103697,NA,1.665098851,0.674238792,2080796250,NA,NA,NA,5391926085,-0.787842655,6.41e+11,NA,0.207890285,674.7933831,5398.347065,1748.57872,-2.749496379,208020.4761,NA,3.104080289,NA,NA,NA,NA,NA,NA,NA,13137487412,3083605
ALB,8,Albania,1988,NA,NA,NA,NA,NA,16409890000,NA,NA,NA,0.076891499,-0.000578579,NA,2.595088682,NA,1.921556402,3.647668602,2051236250,NA,NA,NA,5315358596,-1.420039656,6.32e+11,NA,0.198466812,652.7743214,5222.194571,1691.530949,-3.262522334,201233.7616,NA,2.378539262,NA,NA,NA,NA,NA,NA,NA,12950929878,3142336
ALB,8,Albania,1989,NA,NA,NA,NA,NA,18024720000,NA,NA,NA,0.090923396,0.00367916,NA,2.59518416,NA,1.603298887,3.651131252,2253090000,NA,NA,NA,5838206448,9.836548972,6.95e+11,NA,0.156546255,697.9955966,5583.964773,1808.646078,6.923617285,215166.4171,NA,3.345587891,NA,NA,NA,NA,NA,NA,NA,14224854441,3227943
ALB,8,Albania,1990,NA,8378238406,17674840987,2549.256454,5377.944657,16228430000,NA,NA,NA,0.22452216,-0.431368813,-0.431368813,2.583989344,3.119199825,1.465279774,1.489163096,2028553750,NA,19589754160,NA,5279160806,-9.57564017,6.28e+11,NA,0.199187475,617.2304355,4937.843484,1606.296468,-11.1879053,191093.8021,NA,4.845877394,NA,NA,NA,NA,2.338171011,0.292271376,NA,12862733561,3286542
ALB,8,Albania,1991,NA,6236148227,12725506977,1908.952895,3895.416288,15833650000,NA,NA,NA,0.204305952,35.51424696,35.51424696,3.501673702,4.226960153,3.589563964,2.322708047,1099559028,NA,19113205095,NA,3800882719,-28.00214166,4.52e+11,NA,0.151694215,336.5869945,4846.852721,1163.491598,-27.56682084,138415.316,NA,3.617481466,NA,NA,NA,NA,3.064905515,0.212840661,4.890831233,9327945995,3266790
ALB,8,Albania,1992,NA,5919848272,11810910676,1823.152808,3637.44035,48934320000,NA,NA,NA,0.067948601,232.9846589,232.9846589,11.66003623,14.07512885,6.452502727,0.431830628,652174990.8,NA,59069872981,NA,3527709062,-7.187110915,4.2e+11,NA,0.098413509,200.8522198,15070.44418,1086.438771,-6.622551212,129248.6909,NA,4.678143305,NA,NA,NA,NA,9.978274825,0.132986037,15.47564557,8656352347,3247039
ALB,8,Albania,1993,NA,6639484305,12939964251,2057.295897,4009.548655,1.21e+11,NA,NA,NA,0.002386071,125.6508142,125.6508142,26.31096669,31.76064285,0.483340689,0.146794463,1185315468,NA,1.46e+11,NA,3864937294,9.559411685,4.6e+11,NA,0.09674231,367.2792251,37485.43591,1197.580908,10.22994935,142470.7665,NA,2.649238263,NA,NA,NA,NA,21.99471226,0.215502386,27.80982883,9487362055,3227287
ALB,8,Albania,1994,NA,7344288649,14014352220,2289.697964,4369.195613,1.78e+11,NA,NA,NA,0.001557948,35.84247521,35.84247521,35.7414684,43.14444338,0.232064891,0.045027312,1880950864,NA,2.15e+11,NA,4185837882,8.302866597,4.98e+11,NA,0.037678079,586.4161351,55488.64923,1305.001061,8.969761659,155250.0547,NA,1.522284881,NA,NA,NA,NA,29.25354042,0.309157789,33.21896622,10379174439,3207536
ALB,8,Albania,1995,NA,8497220759,15881390936,2665.557252,4981.953274,2.22e+11,NA,NA,NA,0.002862908,9.970662679,9.838901278,39.30512966,47.38938258,0.183282316,0.037183656,2392764853,NA,2.67e+11,NA,4743489157,13.32233332,5.64e+11,NA,0.029149609,750.6044492,69579.15593,1488.020881,14.02449593,177023.0922,NA,1.159516028,NA,NA,NA,NA,31.47189968,0.33951185,34.83064703,11302921368,3187784
